id,number,title,wg,ar,assessment_report_id,working_group_id
1,1,Greenhouse Gases and AER,1,1,1,1
2,2,Radiative Forcing of Climate,1,1,1,1
3,3,Processes and Modelling,1,1,1,1
4,4,Validation of Climate Models,1,1,1,1
5,5,Equilibrium Climate Change,1,1,1,1
6,6,Time-Dependent Greenhouse Gas Induced Climate Change,1,1,1,1
7,7,Observed Climate Variations and Change,1,1,1,1
8,8,Detection of the Greenhouse Effect in the Observations,1,1,1,1
9,9,Sea Level Rise,1,1,1,1
10,10,Effects on Ecosystems,1,1,1,1
11,11,Narrowing the Uncertainties,1,1,1,1
12,ANX,Annex,1,1,1,1
13,1,The Climate System: an Overview,1,2,2,2
14,2,Radiative Forcing of Climate Change,1,2,2,2
15,3,Observed Climate Variability and Change,1,2,2,2
16,4,Climate Processes,1,2,2,2
17,5,Climate Models - Evaluation,1,2,2,2
18,6,Climate Models – Projections for the Future,1,2,2,2
19,7,Changes in Sea Level,1,2,2,2
20,8,Detection of Climate Change and Attribution of Causes,1,2,2,2
21,9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,1,2,2,2
22,10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,1,2,2,2
23,11,Advancing our Understanding,1,2,2,2
24,1,The Climate System: an Overview,1,3,3,3
25,2,Observed Climate Variability and Change,1,3,3,3
26,3,The Carbon Cycle and Atmospheric Carbon Dioxide,1,3,3,3
27,4,Atmospheric Chemistry and Greenhouse Gases,1,3,3,3
28,5,"AER, their Direct and Indirect Effects",1,3,3,3
29,6,Radiative Forcing of Climate Change,1,3,3,3
30,7,Physical Climate Processes and Feedbacks,1,3,3,3
31,8,Model Evaluation,1,3,3,3
32,9,Projections of Future Climate Change,1,3,3,3
33,10,Regional Climate Information – Evaluation and Projections,1,3,3,3
34,11,Changes in Sea Level,1,3,3,3
35,12,Detection of Climate Change and Attribution of Causes,1,3,3,3
36,13,Climate Scenario Development,1,3,3,3
37,14,Advancing our Understanding,1,3,3,3
38,1,Historical Overview of Climate Change Science,1,4,4,4
39,2,Changes in Atmospheric Constituents and Radiative Forcing,1,4,4,4
40,3,Observations: Atmospheric Surface and Climate Change,1,4,4,4
41,4,"Observations: Changes in Snow, Ice and Frozen Ground",1,4,4,4
42,5,Observations: Ocean Climate Change and Sea Level,1,4,4,4
43,6,Paleoclimate,1,4,4,4
44,7,Coupling Between Changes in the Climate System and Biogeochemistry,1,4,4,4
45,8,Climate Models and their Evaluation,1,4,4,4
46,9,Understanding and Attributing Climate Change,1,4,4,4
47,10,Global Climate Projections,1,4,4,4
48,11,Regional Climate Projections,1,4,4,4
49,1,Introduction,1,5,5,5
50,2,Observations: Atmosphere and Surface,1,5,5,5
51,3,Observations: Ocean,1,5,5,5
52,4,Observations: Cryosphere,1,5,5,5
53,5,Information and Paleoclimate Archives,1,5,5,5
54,6,Carbon and Other biogeochemical Cycles,1,5,5,5
55,7,Clouds and AER,1,5,5,5
56,8,Anthropogenic and Natural Radiative Forcing,1,5,5,5
57,9,Evaluation of Climate Models,1,5,5,5
58,10,Detection and Attribution of Climate Change: from Global to Regional,1,5,5,5
59,11,Near-term Climate Change: Projections and Predictability,1,5,5,5
60,12,"Long-term Climate Change: Projections, Commitments and Irreversibility",1,5,5,5
61,13,Sea Level Change,1,5,5,5
62,14,Climate Phenomena and their Relevance for Future Regional Climate Change,1,5,5,5
63,1,Scenarios used in the Report,2,1,1,6
64,2,Agriculture and Forestry,2,1,1,6
65,3,Natural terrestrial Ecosystems,2,1,1,6
66,4,Hydrology and Water Resources,2,1,1,6
67,5,Human Settlement; the Energy Transport and Industrial sectors; Human Health; Air quality and Changes in Ultraviolet-B Radiation,2,1,1,6
68,6,Oceans and coastal zones,2,1,1,6
69,7,"Seasonal snow cover, ice and permafrost",2,1,1,6
70,A,"Ecophysical, Ecological and Soil Processes in Terrestrial Ecosystems: A primer on general concepts",2,2,2,7
71,B,Energy Primer,2,2,2,7
72,1,Climate Change Impacts on Forests,2,2,2,7
73,2,"Rangelands in a Changing Climate: Impacts, Adaptations and Mitigation",2,2,2,7
74,3,Deserts in a Changing Climate: Impacts,2,2,2,7
75,4,Land Degradation and Desertification,2,2,2,7
76,5,Impacts of Climate Change on Mountain Regions,2,2,2,7
77,6,Non-Tidal Wetlands,2,2,2,7
78,7,The CryosphereL Changes and their Impacts,2,2,2,7
79,8,Oceans,2,2,2,7
80,9,Coastal Zones and Small Islands,2,2,2,7
81,10,Hydrology and Freshwater Ecology,2,2,2,7
82,11,"Industry, Energy and Transportation: Impacts and Adaptation",2,2,2,7
83,12,Human Settlements in a Changing Climate: Impacts and Adaptation,2,2,2,7
84,13,Agriculture in a Changing Climate: Impacts and Adaptation,2,2,2,7
85,14,Water Resources Management,2,2,2,7
86,15,Wood Production under Changing Climate and Land Use,2,2,2,7
87,16,Fisheries,2,2,2,7
88,17,Financial Services,2,2,2,7
89,18,Human Population Health,2,2,2,7
90,19,Energy Supply Mitigation Options,2,2,2,7
91,20,Industry,2,2,2,7
92,21,Mitigation Options in the Transportation Sector,2,2,2,7
93,22,Mitigation Options for Human Settlements,2,2,2,7
94,23,Agricultural Options for Mitigation of Greenhouse Gas Emissions,2,2,2,7
95,24,Management of Forests for Mitigation of Greenhouse Gas Emissions,2,2,2,7
96,25,Mitigation: Cross-Sectoral and Other Issues,2,2,2,7
97,26,Technical Guidelines for Assessing Climate Change Impacts and Adaptation,2,2,2,7
98,27,Methods for Assessment of Mitigation Options,2,2,2,7
99,28,"Inventory of Technologies, Methods and Practices",2,2,2,7
100,1,"Overview of Impacts, Adaptation and Vulnerability to Climate Change",2,3,3,8
101,2,Methods and Tools,2,3,3,8
102,3,Developing and Applying Scenarios,2,3,3,8
103,4,Hydrology and Water Resources,2,3,3,8
104,5,Ecosystems and Their Goods and Services,2,3,3,8
105,6,Coastal Zones and Marine Ecosystems,2,3,3,8
106,7,"Human Settlements, Energy and Industry",2,3,3,8
107,8,Insurance and Other Financial Services,2,3,3,8
108,9,Human Health,2,3,3,8
109,10,Africa,2,3,3,8
110,11,Asia,2,3,3,8
111,12,Australia and New Zealand,2,3,3,8
112,13,Europe,2,3,3,8
113,14,Latin America,2,3,3,8
114,15,North America,2,3,3,8
115,16,Polar Regions,2,3,3,8
116,17,Small Island States,2,3,3,8
117,18,Adaptation to Climate Change in the Context of Sustainable Development and Equity,2,3,3,8
118,19,Vulnerability to Climate Change and Reasons for Concern: A Synthesis,2,3,3,8
119,1,Assessment of Observed Changes and Responses in Natural and Managed Systems,2,4,4,9
120,2,New Assessment methods and the characterization of future conditions,2,4,4,9
121,3,Freshwater resources and their management,2,4,4,9
122,4,"Ecosystems, their properties, goods and services",2,4,4,9
123,5,"Food, Fibre and Forest Products",2,4,4,9
124,6,Coastal Systems and low-lying areas,2,4,4,9
125,7,"Industry, settlements and society",2,4,4,9
126,8,Human Health,2,4,4,9
127,9,Africa,2,4,4,9
128,10,Asia,2,4,4,9
129,11,Australia and New Zealand,2,4,4,9
130,12,Europe,2,4,4,9
131,13,Latin America,2,4,4,9
132,14,North America,2,4,4,9
133,15,Polar Regions,2,4,4,9
134,16,Small Islands,2,4,4,9
135,17,"Assessment of adaptation practices, options, constraints and capacity",2,4,4,9
136,18,Inter-relationships between adaptation and mitigation,2,4,4,9
137,19,Assessing key vulnerabilities and the risk from climate change,2,4,4,9
138,20,Perspectives on climate change and sustainability,2,4,4,9
139,1,Point of Departure,2,5,5,10
140,2,Foundations for Decisionmaking,2,5,5,10
141,3,Freshwater Resources,2,5,5,10
142,4,Terrestrial and Inland water Systems,2,5,5,10
143,5,Coastal systesms and low-lying Areas,2,5,5,10
144,6,Ocean Systems,2,5,5,10
145,7,Food Production systems and Food Security,2,5,5,10
146,8,Urban Areas,2,5,5,10
147,9,Rural Areas,2,5,5,10
148,10,Key Economic Sectors and Services,2,5,5,10
149,11,Human Health,2,5,5,10
150,12,Human Security,2,5,5,10
151,13,Livelihoods and Poverty,2,5,5,10
152,14,Adaptation needs and options,2,5,5,10
153,15,Adaptation planning and implementation,2,5,5,10
154,16,"Adaptation Opportunities, Constraints and Limits",2,5,5,10
155,17,Economics of Adaptation,2,5,5,10
156,18,Detection and Attribution of Observed Impacts,2,5,5,10
157,19,Emergent Risks and Key Vulnerabilities,2,5,5,10
158,20,"Climate-resilient Pathways: Adaptation, mitigation and sustainable development",2,5,5,10
159,21,Regional Context,2,5,5,10
160,22,Africa,2,5,5,10
161,23,Europe,2,5,5,10
162,24,Asia,2,5,5,10
163,25,Australiasia,2,5,5,10
164,26,North America,2,5,5,10
165,27,Central and South America,2,5,5,10
166,28,Polar Regions,2,5,5,10
167,29,Small Islands,2,5,5,10
168,30,Open Oceans,2,5,5,10
169,1,Introduction,3,1,1,11
170,2,Emissions Scenarios,3,1,1,11
171,3,Energy and Industry,3,1,1,11
172,4,"Agriculture, Forestry and other Human Activities",3,1,1,11
173,5,Coastal Zone Management,3,1,1,11
174,6,Resource Use and Management,3,1,1,11
175,7,Public Education and Information,3,1,1,11
176,8,Technology Development and Transfer,3,1,1,11
177,9,Economic (Market) Mechanisms,3,1,1,11
178,10,Financial Mechanisms,3,1,1,11
179,11,Legal and Institutional Mechanisms,3,1,1,11
180,1,Introduction: Scope the Assessment,3,2,2,12
181,2,Decision-Making Frameworks for Addressing Climate Change,3,2,2,12
182,3,Equity and Social Considerations,3,2,2,12
183,4,"Intertemporal Equity, Discounting and Economic Efficiency",3,2,2,12
184,5,Applicability of Techniques of Cost-Benefit Analysis to Climate Change,3,2,2,12
185,6,The Social Costs of Climate Change: Greenhouse Damage and the Benefits of Control,3,2,2,12
186,7,A Generic Assessment of Response Options,3,2,2,12
187,8,Estimating the Costs of Mitigating Greenhouse Gases,3,2,2,12
188,9,A Review of Mitigation Cost Studies,3,2,2,12
189,10,Integrated Assessment of Climate Change: An Overview and Comparison of Approaches and Results,3,2,2,12
190,11,An Economic Assessment of Policy Instruments for Combatting Climate Change,3,2,2,12
191,1,Setting the Stage: Climate Change and Sustainable Development,3,3,3,13
192,2,Greenhouse Gas Emission Mitigation Scenarios and Implications,3,3,3,13
193,3,Technological and Economic Potential of Greenhouse Gas Emissions Reduction,3,3,3,13
194,4,"Technological and Economic Potential of Options to Enhance, Maintain, and Manage Biological Carbon Reservoirs and Geo-engineering",3,3,3,13
195,5,"Barriers, Opportunities, and market Potential of Technologies and Practices",3,3,3,13
196,6,"Policies, Measures and Instruments",3,3,3,13
197,7,Costing Methodologies,3,3,3,13
198,8,"Global, Regional and National Costs and Ancillary Benefits of Mitigation",3,3,3,13
199,9,Sector Costs and Ancillary Benefits of Mitigation,3,3,3,13
200,10,Decision-making Frameworks,3,3,3,13
201,1,Introduction,3,4,4,14
202,2,Framing Issues,3,4,4,14
203,3,Issues Related to Mitigation in the Long Term Context,3,4,4,14
204,4,Energy Supply,3,4,4,14
205,5,Transport and its Infrastructure,3,4,4,14
206,6,Residential and Commercial Buildings,3,4,4,14
207,7,Industry,3,4,4,14
208,8,Agriculture,3,4,4,14
209,9,Forestry,3,4,4,14
210,10,Waste Management,3,4,4,14
211,11,Mitigation from a cross sectoral perspective,3,4,4,14
212,12,Sustainable Development and mitigation,3,4,4,14
213,13,"Policies, instruments and co-operative agreements",3,4,4,14
214,1,Introduction,3,5,5,15
215,2,Integrated Risk and Uncertainty,3,5,5,15
216,3,"Social, Economic and Ethical Concerns",3,5,5,15
217,4,Sustainable Development and Equity,3,5,5,15
218,5,"Drivers, Trends and Mitigation",3,5,5,15
219,6,Assessing Transformation Pathways,3,5,5,15
220,7,Energy Systems,3,5,5,15
221,8,Transport,3,5,5,15
222,9,Buildings,3,5,5,15
223,10,Industry,3,5,5,15
224,11,AFOLU,3,5,5,15
225,12,"Human Settlements, Infrastructure and Spatial Planning",3,5,5,15
226,13,International Cooperation,3,5,5,15
227,14,Regional Development and Cooperation,3,5,5,15
228,15,National and Sub-National Policies,3,5,5,15
229,16,Investment and Finance,3,5,5,15
230,TS,Technical Summary,1,1,1,1
231,TS,Technical Summary,2,1,1,6
232,TS,Technical Summary,3,1,1,11
233,TS,Technical Summary,1,2,2,2
234,TS,Technical Summary,2,2,2,7
235,TS,Technical Summary,3,2,2,12
236,TS,Technical Summary,1,3,3,3
237,TS,Technical Summary,2,3,3,8
238,TS,Technical Summary,3,3,3,13
239,TS,Technical Summary,1,4,4,4
240,TS,Technical Summary,2,4,4,9
241,TS,Technical Summary,3,4,4,14
242,TS,Technical Summary,1,5,5,5
243,TS,Technical Summary,2,5,5,10
244,TS,Technical Summary,3,5,5,15
245,SPM,Summary For Policy Makers,1,1,1,1
246,SPM,Summary For Policy Makers,2,1,1,6
247,SPM,Summary For Policy Makers,3,1,1,11
248,SPM,Summary For Policy Makers,1,2,2,2
249,SPM,Summary For Policy Makers,2,2,2,7
250,SPM,Summary For Policy Makers,3,2,2,12
251,SPM,Summary For Policy Makers,1,3,3,3
252,SPM,Summary For Policy Makers,2,3,3,8
253,SPM,Summary For Policy Makers,3,3,3,13
254,SPM,Summary For Policy Makers,1,4,4,4
255,SPM,Summary For Policy Makers,2,4,4,9
256,SPM,Summary For Policy Makers,3,4,4,14
257,SPM,Summary For Policy Makers,1,5,5,5
258,SPM,Summary For Policy Makers,2,5,5,10
259,SPM,Summary For Policy Makers,3,5,5,15
